Id,SalePrice
1461,110995.91695137566
1462,158606.37665874953
1463,189238.7202616334
1464,194692.83441985154
1465,201931.61063042365
1466,172966.27943213494
1467,178527.76836135914
1468,157247.299962166
1469,202035.6485627878
1470,117142.22408913693
1471,162316.24139427324
1472,94490.4292957494
1473,93006.0033887244
1474,144240.8246099602
1475,109162.64877260721
1476,375519.6003362193
1477,259139.8232646794
1478,310863.9048854094
1479,306162.8762690758
1480,479649.00304769387
1481,311006.74767033546
1482,206588.42181705567
1483,176418.4939822231
1484,160277.09206032334
1485,178667.651349406
1486,188978.7639546016
1487,334644.8755314348
1488,225067.41786166793
1489,203989.13758511713
1490,258697.91264234623
1491,199890.27200638282
1492,100516.63349153334
1493,195649.17871587514
1494,312934.15631102095
1495,287671.0305129306
1496,245579.24095416837
1497,174355.3542160876
1498,172598.23915180226
1499,162883.5648884098
1500,147293.6231013653
1501,191687.771297727
1502,129634.44278170564
1503,362693.6549426351
1504,232917.34905121685
1505,224634.11772447848
1506,188008.79856695165
1507,258664.74293682363
1508,197069.84751669166
1509,154639.38629513048
1510,143330.5138778556
1511,161239.6833854285
1512,179788.47668584588
1513,150382.91884263884
1514,162705.83192822954
1515,213601.7461323524
1516,155281.9866913061
1517,181591.5129820077
1518,123688.88251752139
1519,219033.99966281035
1520,127630.9294145219
1521,134659.3262758369
1522,185993.49802119448
1523,113603.4168702166
1524,125535.44674877415
1525,118637.98046209221
1526,109483.53805489244
1527,107181.74402380537
1528,132853.04847005755
1529,158853.93349187588
1530,205762.2996157324
1531,123882.20375732088
1532,86733.43068921543
1533,160429.48467819323
1534,131377.48959878762
1535,153558.2037700205
1536,92380.23534176731
1537,50665.63838286372
1538,150093.93269092566
1539,208258.92137360258
1540,127431.74434724776
1541,137767.61069676455
1542,163295.89059150533
1543,187412.6430972896
1544,74588.23183521687
1545,117781.6021913013
1546,133868.52753382828
1547,132356.8661508198
1548,146883.59918554104
1549,122375.84256765735
1550,142635.30786396307
1551,106664.1632186597
1552,160396.3301649678
1553,148679.5594441368
1554,119171.1952790654
1555,156875.96477769455
1556,51747.61133658199
1557,123461.33114208828
1558,103064.34563470562
1559,57908.40871292201
1560,119657.20500752353
1561,147411.00036043825
1562,129833.90785071254
1563,129765.22709395015
1564,162947.81610244233
1565,154839.09001588123
1566,228595.04579351097
1567,73389.95479740168
1568,223013.96268897492
1569,133857.63474779157
1570,132570.25442596106
1571,94204.78250980633
1572,152742.8873009903
1573,271670.01337171346
1574,136934.69692298223
1575,234549.801095246
1576,227344.34616623435
1577,180875.8471509444
1578,155445.18097317393
1579,146200.97080827015
1580,189412.6598985464
1581,155571.45977579872
1582,133170.8946826572
1583,280364.0631373166
1584,221779.2196713006
1585,133970.70070423256
1586,75200.14412210125
1587,110139.38652185595
1588,159825.2466524928
1589,104233.08600040071
1590,126158.84704636573
1591,88076.66560513037
1592,133364.66762096784
1593,124677.30384769093
1594,133068.03546587517
1595,118225.98010361334
1596,228766.93487065006
1597,212181.3420267487
1598,212851.79713982798
1599,186792.73062248505
1600,164813.29238943057
1601,53754.68857946468
1602,126633.94656877802
1603,52274.30057029822
1604,276274.9222093208
1605,223920.18313216104
1606,149932.95793803176
1607,162264.8638568701
1608,197132.23201359087
1609,188800.71654963295
1610,150864.3484807238
1611,123476.92050837842
1612,185800.3282106513
1613,164243.6381765909
1614,133953.12850178266
1615,88150.17215933325
1616,65147.31602116977
1617,84344.72160311113
1618,134483.8741106576
1619,144539.17147192848
1620,183645.07234252407
1621,132545.958540492
1622,150647.27601500042
1623,253876.99961413397
1624,203617.84408730594
1625,113764.50603243755
1626,167274.34174773097
1627,192330.21564945544
1628,277089.6280210449
1629,178201.13056552166
1630,369205.87108881853
1631,254458.79975504905
1632,248429.34667158523
1633,173398.70622588368
1634,184591.54536143586
1635,170628.29128779122
1636,146427.86027436145
1637,198867.56451069168
1638,176138.35578020802
1639,182136.81587350764
1640,237605.43638149498
1641,184707.56913930073
1642,258844.68300378683
1643,215212.5594046564
1644,239852.11056728114
1645,211599.61579462723
1646,155310.84496107022
1647,154454.2165517595
1648,126555.91171500192
1649,127652.84382670559
1650,115734.40745038888
1651,115160.84029435564
1652,97936.91806706006
1653,94127.46077976981
1654,145814.25012099068
1655,124224.5385326827
1656,142400.22561809584
1657,154718.8205263922
1658,147182.75115808926
1659,125821.71600319794
1660,149781.96297256486
1661,430837.5414025766
1662,391379.7429296324
1663,389398.47256686713
1664,521399.07928798685
1665,334232.9359125721
1666,325064.1368809226
1667,381625.7357290952
1668,362901.54448474187
1669,320855.4760616729
1670,364319.53883665137
1671,271624.4243095771
1672,409274.8663437058
1673,289967.7147241527
1674,247016.49895546283
1675,207726.46816812851
1676,210450.07745667733
1677,218276.01832939428
1678,479611.95352859085
1679,390753.9076832369
1680,345511.0768028033
1681,284001.2845092239
1682,322199.8528952112
1683,194369.29366556043
1684,165839.26059441804
1685,173059.29100619443
1686,163546.7035397247
